id,date_created,date_updated,is_active,name_ru,name_uk
1,23.03.2016,23.03.2016,TRUE,Хмельницкий,Хмельницький
2,23.03.2016,23.03.2016,TRUE,Каменец-Подольский,Кам'янець-Подільський
3,23.03.2016,23.03.2016,TRUE,Нетишин,Нетішин
4,23.03.2016,23.03.2016,TRUE,Славута,Славута
5,23.03.2016,23.03.2016,TRUE,Староконстантинов,Старокостянтинів
6,23.03.2016,23.03.2016,TRUE,Шепетовка,Шепетівка
7,23.03.2016,23.03.2016,TRUE,Волочиск,Волочиськ
9,23.03.2016,23.03.2016,TRUE,Деражня,Деражня
10,23.03.2016,23.03.2016,TRUE,Дунаевцы,Дунаївці
11,23.03.2016,23.03.2016,TRUE,Изяслав,Ізяслав
12,23.03.2016,23.03.2016,TRUE,Красилов,Красилів
13,23.03.2016,23.03.2016,TRUE,Полонное,Полонне
23,23.03.2016,23.03.2016,TRUE,Летичев,Летичів
29,23.03.2016,23.03.2016,TRUE,Теофиполь,Теофіполь
32,23.03.2016,23.03.2016,TRUE,Житомир,Житомир
33,23.03.2016,23.03.2016,TRUE,Бердичев,Бердичів
34,23.03.2016,23.03.2016,TRUE,Коростень,Коростень
35,23.03.2016,23.03.2016,TRUE,Новоград-Волынский,Новоград-Волинський
36,23.03.2016,23.03.2016,TRUE,Малин,Малин
38,23.03.2016,23.03.2016,TRUE,Овруч,Овруч
40,23.03.2016,23.03.2016,TRUE,Радомышль,Радомишль
48,23.03.2016,23.03.2016,TRUE,Попельня,Попільня
49,23.03.2016,23.03.2016,TRUE,Винница,Вінниця
51,23.03.2016,23.03.2016,TRUE,Могилёв-Подольский,Могилів-Подільський
52,23.03.2016,23.03.2016,TRUE,Хмельник,Хмільник
54,23.03.2016,23.03.2016,TRUE,Казатин,Козятин
56,23.03.2016,23.03.2016,TRUE,Калиновка,Калинівка
67,23.03.2016,23.03.2016,TRUE,Белая Церковь,Біла Церква
68,23.03.2016,23.03.2016,TRUE,Бровары,Бровари
69,23.03.2016,23.03.2016,TRUE,Борисполь,Бориспіль
70,23.03.2016,23.03.2016,TRUE,Вишнёвое,Вишневе
71,23.03.2016,23.03.2016,TRUE,Фастов,Фастів
